SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
314,New London County,Connecticut,243,"274,170","Norwich-New London, CT Metropolitan Statistical Area","Hartford-West Hartford, CT Combined Statistical Area"
315,Tolland County,Connecticut,416,"151,539","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","Hartford-West Hartford, CT Combined Statistical Area"
316,Windham County,Connecticut,516,"117,599","Worcester, MA-CT Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
317,Kent County,Delaware,373,"167,626","Dover, DE Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
318,New Castle County,Delaware,116,"546,076","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
319,Sussex County,Delaware,308,"203,390","Salisbury, MD-DE Metropolitan Statistical Area",
320,District of Columbia,District of Columbia,99,"632,323","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
321,Alachua County,Florida,263,"251,417","Gainesville, FL Metropolitan Statistical Area","Gainesville-Lake City, FL Combined Statistical Area"
322,Baker County,Florida,1528,"27,086","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
323,Bay County,Florida,363,"171,903","Panama City, FL Metropolitan Statistical Area",
324,Bradford County,Florida,1529,"27,049",,
325,Brevard County,Florida,115,"547,307","Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",
326,Broward County,Florida,17,"1,815,137","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
327,Calhoun County,Florida,2127,"14,723",,
328,Charlotte County,Florida,386,"162,449","Punta Gorda, FL Metropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
329,Citrus County,Florida,449,"139,360","Homosassa Springs, FL Metropolitan Statistical Area",
330,Clay County,Florida,327,"194,345","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
331,Collier County,Florida,197,"332,427","Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area","Cape Coral-Fort Myers-Naples, FL Combined Statistical Area"
332,Columbia County,Florida,781,"67,966","Lake City, FL Micropolitan Statistical Area","Gainesville-Lake City, FL Combined Statistical Area"
333,DeSoto County,Florida,1308,"34,712","Arcadia, FL Micropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
334,Dixie County,Florida,2036,"16,126",,
335,Duval County,Florida,59,"879,602","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
336,Escambia County,Florida,215,"302,715","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",
337,Flagler County,Florida,596,"98,359","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
338,Franklin County,Florida,2318,"11,686",,
339,Gadsden County,Florida,1039,"46,528","Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
340,Gilchrist County,Florida,1993,"16,815","Gainesville, FL Metropolitan Statistical Area","Gainesville-Lake City, FL Combined Statistical Area"
341,Glades County,Florida,2235,"13,107",,
342,Gulf County,Florida,2061,"15,718","Panama City, FL Metropolitan Statistical Area",
343,Hamilton County,Florida,2128,"14,708",,
344,Hardee County,Florida,1513,"27,514","Wauchula, FL Micropolitan Statistical Area",
345,Hendry County,Florida,1234,"37,447","Clewiston, FL Micropolitan Statistical Area",
346,Hernando County,Florida,360,"173,422","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
347,Highlands County,Florida,598,"98,128","Sebring, FL Metropolitan Statistical Area",
348,Hillsborough County,Florida,29,"1,277,746","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
349,Holmes County,Florida,1845,"19,804",,
350,Indian River County,Florida,446,"140,567","Sebastian-Vero Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
351,Jackson County,Florida,1000,"48,968",,
352,Jefferson County,Florida,2157,"14,256","Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
353,Lafayette County,Florida,2532,"8,804",,
354,Lake County,Florida,214,"303,186","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
355,Lee County,Florida,96,"645,293","Cape Coral-Fort Myers, FL Metropolitan Statistical Area","Cape Coral-Fort Myers-Naples, FL Combined Statistical Area"
356,Leon County,Florida,233,"283,769","Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
357,Levy County,Florida,1172,"40,025",,
358,Liberty County,Florida,2587,"8,276",,
359,Madison County,Florida,1878,"18,907",,
360,Manatee County,Florida,196,"333,895","North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
361,Marion County,Florida,195,"335,125","Ocala, FL Metropolitan Statistical Area",
362,Martin County,Florida,423,"148,817","Port St. Lucie, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
363,Miami-Dade County,Florida,7,"2,591,035","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
364,Monroe County,Florida,730,"74,809","Key West, FL Micropolitan Statistical Area",
365,Nassau County,Florida,733,"74,629","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
366,Okaloosa County,Florida,333,"190,083","Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",
367,Okeechobee County,Florida,1183,"39,467","Okeechobee, FL Micropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
368,Orange County,Florida,33,"1,202,234","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
369,Osceola County,Florida,229,"287,416","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
370,Palm Beach County,Florida,27,"1,356,545","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
371,Pasco County,Florida,141,"470,391","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
372,Pinellas County,Florida,53,"921,319","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
373,Polk County,Florida,105,"616,158","Lakeland-Winter Haven, FL Metropolitan Statistical Area",
374,Putnam County,Florida,741,"73,263","Palatka, FL Micropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
375,St. Johns County,Florida,312,"202,188","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
376,St. Lucie County,Florida,232,"283,866","Port St. Lucie, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
377,Santa Rosa County,Florida,397,"158,512","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",
378,Sarasota County,Florida,174,"386,147","North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
379,Seminole County,Florida,158,"430,838","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
380,Sumter County,Florida,576,"101,620","The Villages, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
381,Suwannee County,Florida,1094,"43,656",,
382,Taylor County,Florida,1697,"22,744",,
383,Union County,Florida,2091,"15,212",,
384,Volusia County,Florida,135,"496,950","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
385,Wakulla County,Florida,1414,"30,818","Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
386,Walton County,Florida,886,"57,582","Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",
387,Washington County,Florida,1613,"24,892",,
388,Appling County,Georgia,1903,"18,368",,
389,Atkinson County,Georgia,2586,"8,284",,
390,Bacon County,Georgia,2346,"11,198",,
391,Baker County,Georgia,2951,"3,366","Albany, GA Metropolitan Statistical Area",
392,Baldwin County,Georgia,1042,"46,367","Milledgeville, GA Micropolitan Statistical Area",
393,Banks County,Georgia,1907,"18,316",,
394,Barrow County,Georgia,760,"70,169","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
395,Bartow County,Georgia,583,"100,661","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
396,Ben Hill County,Georgia,1946,"17,538","Fitzgerald, GA Micropolitan Statistical Area",
397,Berrien County,Georgia,1871,"19,041",,
398,Bibb County,Georgia,402,"156,462","Macon, GA Metropolitan Statistical Area","Macon-Warner Robins, GA Combined Statistical Area"
399,Bleckley County,Georgia,2249,"12,913",,
400,Brantley County,Georgia,1893,"18,587","Brunswick, GA Metropolitan Statistical Area",
401,Brooks County,Georgia,2079,"15,403","Valdosta, GA Metropolitan Statistical Area",
402,Bryan County,Georgia,1385,"32,214","Savannah, GA Metropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
403,Bulloch County,Georgia,746,"72,694","Statesboro, GA Micropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
404,Burke County,Georgia,1684,"23,125","Augusta-Richmond County, GA-SC Metropolitan Statistical Area",
405,Butts County,Georgia,1662,"23,524","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
406,Calhoun County,Georgia,2723,"6,504",,
407,Camden County,Georgia,963,"51,402","St. Marys, GA Micropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
408,Candler County,Georgia,2352,"11,117",,
409,Carroll County,Georgia,540,"111,580","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
410,Catoosa County,Georgia,810,"65,046","Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
411,Charlton County,Georgia,2225,"13,295",,
412,Chatham County,Georgia,239,"276,434","Savannah, GA Metropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
413,Chattahoochee County,Georgia,2239,"13,037","Columbus, GA-AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
414,Chattooga County,Georgia,1578,"25,725","Summerville, GA Micropolitan Statistical Area","Rome-Summerville, GA Combined Statistical Area"
415,Cherokee County,Georgia,286,"221,315","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
416,Clarke County,Georgia,507,"120,266","Athens-Clarke County, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
417,Clay County,Georgia,2967,"3,116",,
418,Clayton County,Georgia,251,"265,888","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
419,Clinch County,Georgia,2706,"6,718",,
420,Cobb County,Georgia,84,"707,442","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
421,Coffee County,Georgia,1103,"43,170","Douglas, GA Micropolitan Statistical Area",
422,Colquitt County,Georgia,1046,"46,137","Moultrie, GA Micropolitan Statistical Area",
423,Columbia County,Georgia,476,"131,627","Augusta-Richmond County, GA-SC Metropolitan Statistical Area",
424,Cook County,Georgia,1988,"16,923",,
425,Coweta County,Georgia,478,"130,929","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
426,Crawford County,Georgia,2266,"12,600","Macon, GA Metropolitan Statistical Area","Macon-Warner Robins, GA Combined Statistical Area"
427,Crisp County,Georgia,1658,"23,606","Cordele, GA Micropolitan Statistical Area",
428,Dade County,Georgia,2013,"16,490","Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
429,Dawson County,Georgia,1713,"22,422","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
430,Decatur County,Georgia,1514,"27,509","Bainbridge, GA Micropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
431,DeKalb County,Georgia,86,"707,089","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
432,Dodge County,Georgia,1766,"21,329",,
433,Dooly County,Georgia,2149,"14,318",,
434,Dougherty County,Georgia,613,"94,501","Albany, GA Metropolitan Statistical Area",
435,Douglas County,Georgia,468,"133,971","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
436,Early County,Georgia,2391,"10,594",,
437,Echols County,Georgia,2907,"3,988","Valdosta, GA Metropolitan Statistical Area",
438,Effingham County,Georgia,933,"53,293","Savannah, GA Metropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
439,Elbert County,Georgia,1850,"19,684",,
440,Emanuel County,Georgia,1694,"22,898",,
441,Evans County,Georgia,2381,"10,689",,
442,Fannin County,Georgia,1663,"23,492",,
443,Fayette County,Georgia,552,"107,524","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
444,Floyd County,Georgia,607,"96,177","Rome, GA Metropolitan Statistical Area","Rome-Summerville, GA Combined Statistical Area"
445,Forsyth County,Georgia,337,"187,928","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
446,Franklin County,Georgia,1737,"21,894",,
447,Fulton County,Georgia,43,"977,773","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
448,Gilmer County,Georgia,1484,"28,190",,
449,Glascock County,Georgia,2966,"3,142",,
450,Glynn County,Georgia,682,"81,022","Brunswick, GA Metropolitan Statistical Area",
451,Gordon County,Georgia,905,"55,766","Calhoun, GA Micropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
452,Grady County,Georgia,1590,"25,440",,
453,Greene County,Georgia,2039,"16,092",,
454,Gwinnett County,Georgia,63,"842,046","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
455,Habersham County,Georgia,1099,"43,520","Cornelia, GA Micropolitan Statistical Area",
456,Hall County,Georgia,340,"185,416","Gainesville, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
