SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
894,Bourbon County,Kansas,2117,"14,897",,
895,Brown County,Kansas,2452,"9,881",,
896,Butler County,Kansas,802,"65,827","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
897,Chase County,Kansas,2992,"2,757",,
898,Chautauqua County,Kansas,2940,"3,571",,
899,Cherokee County,Kansas,1773,"21,226",,
900,Cheyenne County,Kansas,3000,"2,678",,
901,Clark County,Kansas,3038,"2,181",,
902,Clay County,Kansas,2561,"8,531",,
903,Cloud County,Kansas,2480,"9,397",,
904,Coffey County,Kansas,2563,"8,502",,
905,Comanche County,Kansas,3066,"1,913",,
906,Cowley County,Kansas,1269,"36,288","Arkansas City-Winfield, KS Micropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
907,Crawford County,Kansas,1188,"39,361","Pittsburg, KS Micropolitan Statistical Area",
908,Decatur County,Kansas,2987,"2,871",,
909,Dickinson County,Kansas,1847,"19,762",,
910,Doniphan County,Kansas,2608,"7,864","St. Joseph, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
911,Douglas County,Kansas,532,"112,864","Lawrence, KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
912,Edwards County,Kansas,2981,"2,979",,
913,Elk County,Kansas,2999,"2,720",,
914,Ellis County,Kansas,1449,"29,053","Hays, KS Micropolitan Statistical Area",
915,Ellsworth County,Kansas,2725,"6,494",,
916,Finney County,Kansas,1242,"37,200","Garden City, KS Micropolitan Statistical Area",
917,Ford County,Kansas,1306,"34,752","Dodge City, KS Micropolitan Statistical Area",
918,Franklin County,Kansas,1567,"25,906","Ottawa, KS Micropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
919,Geary County,Kansas,1221,"38,013","Junction City, KS Micropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
920,Gove County,Kansas,2998,"2,729",,
921,Graham County,Kansas,3002,"2,578",,
922,Grant County,Kansas,2603,"7,923",,
923,Gray County,Kansas,2758,"6,030",,
924,Greeley County,Kansas,3096,"1,298",,
925,Greenwood County,Kansas,2728,"6,454",,
926,Hamilton County,Kansas,3001,"2,639",,
927,Harper County,Kansas,2770,"5,911",,
928,Harvey County,Kansas,1304,"34,852","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
929,Haskell County,Kansas,2887,"4,256",,
930,Hodgeman County,Kansas,3058,"1,963",,
931,Jackson County,Kansas,2216,"13,449","Topeka, KS Metropolitan Statistical Area",
932,Jefferson County,Kansas,1877,"18,945","Topeka, KS Metropolitan Statistical Area",
933,Jewell County,Kansas,2974,"3,046",,
934,Johnson County,Kansas,111,"559,913","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
935,Kearny County,Kansas,2909,"3,968","Garden City, KS Micropolitan Statistical Area",
936,Kingman County,Kansas,2609,"7,863","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
